              sh-3635  [006] .....   934.485519: funcgraph_entry:        0.083 us   |                    __srcu_read_lock();
              sh-3635  [006] .....   934.485519: funcgraph_entry:        0.125 us   |                    tomoyo_init_request_info();
              sh-3635  [006] .....   934.485519: funcgraph_entry:        0.083 us   |                    kfree();
              sh-3635  [006] .....   934.485519: funcgraph_entry:        0.083 us   |                    __srcu_read_unlock();
              sh-3635  [006] .....   934.485519: funcgraph_exit:         0.833 us   |                  }
              sh-3635  [006] .....   934.485519: funcgraph_exit:         1.167 us   |                }
              sh-3635  [006] .....   934.485519: funcgraph_entry:        0.083 us   |                bpf_lsm_file_open();
              sh-3635  [006] .....   934.485520: funcgraph_entry:                   |                __fsnotify_parent() {
              sh-3635  [006] .....   934.485520: funcgraph_entry:        0.125 us   |                  dget_parent();
              sh-3635  [006] .....   934.485520: funcgraph_entry:        0.125 us   |                  fsnotify();
              sh-3635  [006] .....   934.485520: funcgraph_entry:                   |                  dput() {
              sh-3635  [006] .....   934.485520: funcgraph_entry:                   |                    __cond_resched() {
              sh-3635  [006] .....   934.485520: funcgraph_entry:        0.083 us   |                      rcu_all_qs();
              sh-3635  [006] .....   934.485521: funcgraph_exit:         0.250 us   |                    }
              sh-3635  [006] .....   934.485521: funcgraph_exit:         0.417 us   |                  }
              sh-3635  [006] .....   934.485521: funcgraph_exit:         1.042 us   |                }
              sh-3635  [006] .....   934.485521: funcgraph_exit:         3.125 us   |              }
              sh-3635  [006] .....   934.485521: funcgraph_entry:                   |              ext4_file_open() {
              sh-3635  [006] .....   934.485521: funcgraph_entry:                   |                fscrypt_file_open() {
              sh-3635  [006] .....   934.485521: funcgraph_entry:        0.084 us   |                  dget_parent();
              sh-3635  [006] .....   934.485521: funcgraph_entry:                   |                  dput() {
              sh-3635  [006] .....   934.485521: funcgraph_entry:                   |                    __cond_resched() {
              sh-3635  [006] .....   934.485521: funcgraph_entry:        0.125 us   |                      rcu_all_qs();
              sh-3635  [006] .....   934.485522: funcgraph_exit:         0.292 us   |                    }
              sh-3635  [006] .....   934.485522: funcgraph_exit:         0.458 us   |                  }
              sh-3635  [006] .....   934.485522: funcgraph_exit:         0.792 us   |                }
              sh-3635  [006] .....   934.485522: funcgraph_entry:        0.083 us   |                fsverity_file_open();
              sh-3635  [006] .....   934.485522: funcgraph_entry:                   |                dquot_file_open() {
              sh-3635  [006] .....   934.485522: funcgraph_entry:        0.125 us   |                  generic_file_open();
              sh-3635  [006] .....   934.485522: funcgraph_exit:         0.292 us   |                }
              sh-3635  [006] .....   934.485522: funcgraph_exit:         1.625 us   |              }
              sh-3635  [006] .....   934.485523: funcgraph_entry:                   |              file_ra_state_init() {
              sh-3635  [006] .....   934.485523: funcgraph_entry:        0.083 us   |                inode_to_bdi();
